post_id,post_title,price,neighborhood,condition,image_id,uri,category
0,"Stitch-On Bag for sale! Brand New, Office worker, students OK",8000,Ikebukuro, like new,0,images/0_00606_e20sHrQkKN1_0.jpg,bag
0,"Stitch-On Bag for sale! Brand New, Office worker, students OK",8000,Ikebukuro, like new,1,images/0_00C0C_jT99a4x5PXI_1.jpg,bag
0,"Stitch-On Bag for sale! Brand New, Office worker, students OK",8000,Ikebukuro, like new,2,images/0_00K0K_gsFZSt3KiSJ_2.jpg,bag
1,Seiko automatic watch - sapphire glass,21000,nerima, new,0,images/1_00t0t_a4YR3ouUQcn_0.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,1,images/1_00Y0Y_kQKBjolac1J_1.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,2,images/1_01717_8jdlfNtGIaT_2.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,3,images/1_00N0N_8p4jBJlt8vM_3.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,4,images/1_00e0e_ckhCSWm4Ufe_4.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,5,images/1_00q0q_1C2Qs3pcXws_5.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,6,images/1_00o0o_2oJJq1ja1Fl_6.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,7,images/1_01414_2bU0H4BGjTc_7.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,8,images/1_00Q0Q_hmFZHXRiDdD_8.jpg,watch
1,Seiko automatic watch - sapphire glass,21000,nerima, new,9,images/1_00S0S_5KYAmNZHz00_9.jpg,watch
2,Famous brand Warm women knit,400,unknown,unknown,0,images/2_00g0g_9J65isoYrpa_0.jpg,other
3,Jean & pant collection (lady),100,Waseda station, good,0,images/3_01414_4bwd7hTdJZJ_0.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,1,images/3_01515_4n5QubXXxcT_1.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,2,images/3_01414_6is8j6lkPoZ_2.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,3,images/3_00L0L_2CNg6qswwVJ_3.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,4,images/3_00o0o_ko4eMf67BsS_4.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,5,images/3_00c0c_iXdd9Rcn8m2_5.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,6,images/3_00n0n_hYSAZqD2Y4A_6.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,7,images/3_00X0X_1PRqdCoR5k7_7.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,8,images/3_00Q0Q_25gGKcZvYyZ_8.jpg,jeans
3,Jean & pant collection (lady),100,Waseda station, good,9,images/3_01414_eGmNvvP6kVU_9.jpg,jeans
